Specialty,Score Type,Total Questions,Difficulty,qwen2.5-14b-cpu,qwen3-8b-cpu,gemma3-12b-cpu,phi4-latest-cpu,phi4-14b-cpu,qwen2.5-7b-cpu,hf.co_mradermacher_MiniCPM4-8B-GGUF-latest-cpu,notus-latest-cpu,qwen2.5-1.5b-cpu,gemma2-9b-cpu,zephyr-7b-cpu,Elixpo_LlamaMedicine-latest-cpu,qwen2.5-3b-cpu,llama3.1-8b-cpu,mistral-nemo-12b-cpu,qwen2-7b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,dolphin3-latest-cpu,qwen-4b-cpu,hf.co_mradermacher_JSL-MedMNX-7B-GGUF-latest-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,qwen3-4b-cpu,qwen3-1.7b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,llama-pro-latest-cpu,hf.co_mradermacher_JSL-MedLlama-3-8B-v9-GGUF-latest-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen2.5-0.5b-cpu,deepseek-r1-8b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,hf.co_mradermacher_DeepSeek-R1-Health-Risk-COT3-GGUF-latest-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,orca-mini-3b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_mradermacher_Qwen3_4B_healthcare_exercise_model-i1-GGUF-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,hf.co_mradermacher_medgemma-4b-pt-GGUF-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu,hf.co_mradermacher_JSL-Med-Phi-3.5-Mini-v3-GGUF-latest-cpu
Emergency Medicine,General,9,Mid,100.0%,0.0%,77.8%,0.0%,0.0%,55.6%,33.3%,0.0%,100.0%,0.0%,0.0%,0.0%,88.9%,0.0%,0.0%,0.0%,11.1%,44.4%,0.0%,44.4%,11.1%,0.0%,0.0%,22.2%,0.0%,11.1%,11.1%,0.0%,11.1%,0.0%,22.2%,22.2%,0.0%,0.0%,0.0%,22.2%,33.3%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,11.1%,55.6%,22.2%,11.1%,0.0%,0.0%,11.1%,0.0%,11.1%,88.9%,0.0%,0.0%,0.0%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Emergency Medicine,Vital,9,Mid,100.0%,0.0%,77.8%,0.0%,0.0%,55.6%,33.3%,0.0%,100.0%,0.0%,0.0%,0.0%,88.9%,0.0%,0.0%,0.0%,11.1%,44.4%,0.0%,44.4%,11.1%,0.0%,0.0%,22.2%,0.0%,11.1%,11.1%,0.0%,11.1%,0.0%,22.2%,22.2%,0.0%,0.0%,0.0%,22.2%,33.3%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,11.1%,55.6%,22.2%,11.1%,0.0%,0.0%,11.1%,0.0%,11.1%,88.9%,0.0%,0.0%,0.0%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Endocrinology,General,29,All,93.9%,90.5%,75.9%,65.5%,69.0%,72.4%,72.4%,0.0%,82.8%,62.1%,0.0%,65.5%,72.4%,65.5%,62.1%,65.5%,65.5%,55.2%,51.7%,69.0%,55.2%,0.0%,48.3%,62.1%,0.0%,51.7%,55.2%,0.0%,58.6%,44.8%,55.2%,75.9%,65.5%,55.2%,0.0%,44.8%,62.1%,58.6%,0.0%,48.3%,65.5%,58.6%,0.0%,0.0%,48.3%,44.8%,41.4%,44.8%,41.4%,44.8%,62.1%,41.4%,27.6%,51.7%,41.4%,0.0%,41.4%,34.5%,0.0%,62.1%,44.8%,0.0%,48.3%,41.4%,48.3%,44.8%,0.0%,37.9%,27.6%,34.5%,34.5%,17.2%,0.0%,0.0%,0.0%,24.1%,27.6%,20.7%,17.2%,24.1%,24.1%,0.0%,0.0%,34.5%,20.7%,13.8%,0.0%,3.4%,0.0%,6.9%,0.0%,3.4%,0.0%
Endocrinology,Vital,18,All,88.9%,80.0%,61.1%,50.0%,50.0%,61.1%,55.6%,0.0%,88.9%,38.9%,0.0%,44.4%,83.3%,44.4%,44.4%,50.0%,44.4%,50.0%,33.3%,50.0%,38.9%,0.0%,16.7%,38.9%,0.0%,22.2%,27.8%,0.0%,33.3%,22.2%,33.3%,61.1%,44.4%,27.8%,0.0%,27.8%,61.1%,33.3%,0.0%,27.8%,50.0%,44.4%,0.0%,0.0%,16.7%,44.4%,22.2%,16.7%,5.6%,11.1%,44.4%,5.6%,11.1%,77.8%,22.2%,0.0%,22.2%,27.8%,0.0%,38.9%,16.7%,0.0%,22.2%,16.7%,72.2%,33.3%,0.0%,5.6%,5.6%,44.4%,22.2%,27.8%,0.0%,0.0%,0.0%,5.6%,11.1%,11.1%,5.6%,11.1%,11.1%,0.0%,0.0%,22.2%,22.2%,0.0%,0.0%,5.6%,0.0%,0.0%,0.0%,0.0%,0.0%
Endocrinology,General,20,Easy,100.0%,95.0%,95.0%,95.0%,100.0%,95.0%,95.0%,0.0%,80.0%,90.0%,0.0%,95.0%,70.0%,95.0%,90.0%,90.0%,90.0%,80.0%,75.0%,90.0%,80.0%,0.0%,70.0%,80.0%,0.0%,75.0%,75.0%,0.0%,85.0%,65.0%,65.0%,85.0%,85.0%,75.0%,0.0%,65.0%,75.0%,80.0%,0.0%,70.0%,95.0%,85.0%,0.0%,0.0%,70.0%,65.0%,50.0%,55.0%,60.0%,60.0%,90.0%,60.0%,40.0%,45.0%,60.0%,0.0%,60.0%,40.0%,0.0%,90.0%,65.0%,0.0%,70.0%,50.0%,45.0%,45.0%,0.0%,55.0%,40.0%,50.0%,50.0%,25.0%,0.0%,0.0%,0.0%,35.0%,40.0%,25.0%,25.0%,35.0%,35.0%,0.0%,0.0%,40.0%,15.0%,20.0%,0.0%,0.0%,0.0%,10.0%,0.0%,5.0%,0.0%
Endocrinology,Vital,9,Easy,100.0%,88.9%,88.9%,100.0%,100.0%,100.0%,88.9%,0.0%,88.9%,77.8%,0.0%,88.9%,88.9%,88.9%,88.9%,88.9%,77.8%,100.0%,66.7%,77.8%,77.8%,0.0%,33.3%,55.6%,0.0%,44.4%,44.4%,0.0%,66.7%,44.4%,33.3%,66.7%,66.7%,44.4%,0.0%,55.6%,88.9%,55.6%,0.0%,55.6%,100.0%,88.9%,0.0%,0.0%,33.3%,88.9%,22.2%,11.1%,11.1%,11.1%,88.9%,11.1%,22.2%,88.9%,44.4%,0.0%,44.4%,33.3%,0.0%,77.8%,33.3%,0.0%,44.4%,11.1%,88.9%,22.2%,0.0%,11.1%,11.1%,88.9%,44.4%,55.6%,0.0%,0.0%,0.0%,11.1%,22.2%,11.1%,11.1%,22.2%,22.2%,0.0%,0.0%,22.2%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Endocrinology,General,9,Mid,66.7%,0.0%,33.3%,0.0%,0.0%,22.2%,22.2%,0.0%,88.9%,0.0%,0.0%,0.0%,77.8%,0.0%,0.0%,11.1%,11.1%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,33.3%,55.6%,22.2%,11.1%,0.0%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%,11.1%,0.0%,0.0%,0.0%,66.7%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,55.6%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,33.3%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Endocrinology,Vital,9,Mid,66.7%,0.0%,33.3%,0.0%,0.0%,22.2%,22.2%,0.0%,88.9%,0.0%,0.0%,0.0%,77.8%,0.0%,0.0%,11.1%,11.1%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,33.3%,55.6%,22.2%,11.1%,0.0%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%,11.1%,0.0%,0.0%,0.0%,66.7%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,55.6%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,33.3%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Esthetic Medicine,General,25,All,80.0%,100.0%,100.0%,92.0%,88.0%,76.0%,96.0%,84.0%,56.0%,100.0%,80.0%,100.0%,52.0%,92.0%,72.0%,92.0%,88.0%,76.0%,92.0%,68.0%,92.0%,92.0%,92.0%,76.0%,56.0%,80.0%,88.0%,88.0%,84.0%,88.0%,84.0%,80.0%,84.0%,84.0%,88.0%,72.0%,56.0%,84.0%,52.0%,88.0%,100.0%,100.0%,64.0%,88.0%,84.0%,48.0%,76.0%,84.0%,76.0%,76.0%,60.0%,74.2%,48.0%,24.0%,100.0%,64.0%,76.0%,48.0%,72.0%,84.0%,84.0%,60.0%,88.0%,44.0%,36.0%,52.0%,44.0%,48.0%,36.0%,24.0%,64.0%,28.0%,56.0%,72.0%,0.0%,36.0%,20.0%,8.0%,28.0%,52.0%,52.0%,88.0%,8.0%,8.0%,4.0%,20.0%,4.0%,4.0%,0.0%,8.0%,68.0%,0.0%,0.0%
Esthetic Medicine,Vital,10,All,90.0%,100.0%,100.0%,90.0%,90.0%,70.0%,100.0%,90.0%,50.0%,100.0%,70.0%,100.0%,60.0%,100.0%,90.0%,90.0%,90.0%,60.0%,100.0%,70.0%,90.0%,100.0%,100.0%,70.0%,30.0%,100.0%,100.0%,80.0%,90.0%,100.0%,80.0%,80.0%,90.0%,80.0%,90.0%,80.0%,50.0%,80.0%,60.0%,80.0%,100.0%,100.0%,60.0%,100.0%,80.0%,40.0%,80.0%,70.0%,70.0%,70.0%,70.0%,69.2%,60.0%,30.0%,100.0%,50.0%,70.0%,60.0%,60.0%,80.0%,80.0%,70.0%,100.0%,30.0%,50.0%,40.0%,60.0%,50.0%,40.0%,30.0%,90.0%,30.0%,40.0%,60.0%,0.0%,50.0%,0.0%,0.0%,20.0%,90.0%,90.0%,80.0%,10.0%,10.0%,10.0%,30.0%,0.0%,0.0%,0.0%,0.0%,70.0%,0.0%,0.0%
Esthetic Medicine,General,25,Easy,80.0%,100.0%,100.0%,92.0%,88.0%,76.0%,96.0%,84.0%,56.0%,100.0%,80.0%,100.0%,52.0%,92.0%,72.0%,92.0%,88.0%,76.0%,92.0%,68.0%,92.0%,92.0%,92.0%,76.0%,56.0%,80.0%,88.0%,88.0%,84.0%,88.0%,84.0%,80.0%,84.0%,84.0%,88.0%,72.0%,56.0%,84.0%,52.0%,88.0%,100.0%,100.0%,64.0%,88.0%,84.0%,48.0%,76.0%,84.0%,76.0%,76.0%,60.0%,74.2%,48.0%,24.0%,100.0%,64.0%,76.0%,48.0%,72.0%,84.0%,84.0%,60.0%,88.0%,44.0%,36.0%,52.0%,44.0%,48.0%,36.0%,24.0%,64.0%,28.0%,56.0%,72.0%,0.0%,36.0%,20.0%,8.0%,28.0%,52.0%,52.0%,88.0%,8.0%,8.0%,4.0%,20.0%,4.0%,4.0%,0.0%,8.0%,68.0%,0.0%,0.0%
Esthetic Medicine,Vital,10,Easy,90.0%,100.0%,100.0%,90.0%,90.0%,70.0%,100.0%,90.0%,50.0%,100.0%,70.0%,100.0%,60.0%,100.0%,90.0%,90.0%,90.0%,60.0%,100.0%,70.0%,90.0%,100.0%,100.0%,70.0%,30.0%,100.0%,100.0%,80.0%,90.0%,100.0%,80.0%,80.0%,90.0%,80.0%,90.0%,80.0%,50.0%,80.0%,60.0%,80.0%,100.0%,100.0%,60.0%,100.0%,80.0%,40.0%,80.0%,70.0%,70.0%,70.0%,70.0%,69.2%,60.0%,30.0%,100.0%,50.0%,70.0%,60.0%,60.0%,80.0%,80.0%,70.0%,100.0%,30.0%,50.0%,40.0%,60.0%,50.0%,40.0%,30.0%,90.0%,30.0%,40.0%,60.0%,0.0%,50.0%,0.0%,0.0%,20.0%,90.0%,90.0%,80.0%,10.0%,10.0%,10.0%,30.0%,0.0%,0.0%,0.0%,0.0%,70.0%,0.0%,0.0%
Gastroenterology,General,28,All,95.8%,100.0%,82.1%,71.4%,71.4%,96.4%,85.7%,0.0%,71.4%,71.4%,0.0%,67.9%,67.9%,67.9%,64.3%,71.4%,64.3%,64.3%,60.7%,67.9%,57.1%,0.0%,60.7%,60.7%,0.0%,57.1%,71.4%,0.0%,57.1%,53.6%,53.6%,64.3%,60.7%,60.7%,0.0%,50.0%,71.4%,57.1%,0.0%,53.6%,64.3%,64.3%,0.0%,0.0%,46.4%,46.4%,42.9%,60.7%,46.4%,50.0%,60.7%,50.0%,39.3%,39.3%,53.6%,0.0%,46.4%,46.4%,0.0%,60.7%,46.4%,0.0%,57.1%,46.4%,50.0%,35.7%,0.0%,42.9%,28.6%,25.0%,28.6%,32.1%,0.0%,0.0%,0.0%,32.1%,25.0%,32.1%,32.1%,14.3%,14.3%,0.0%,0.0%,17.9%,17.9%,10.7%,0.0%,10.7%,0.0%,3.6%,0.0%,3.6%,0.0%
Gastroenterology,Vital,16,All,100.0%,100.0%,75.0%,50.0%,50.0%,93.8%,81.2%,0.0%,81.2%,50.0%,0.0%,43.8%,87.5%,43.8%,43.8%,50.0%,43.8%,50.0%,37.5%,50.0%,31.2%,0.0%,43.8%,37.5%,0.0%,31.2%,50.0%,0.0%,25.0%,25.0%,18.8%,43.8%,37.5%,37.5%,0.0%,37.5%,62.5%,31.2%,0.0%,31.2%,50.0%,50.0%,0.0%,0.0%,43.8%,50.0%,31.2%,37.5%,12.5%,12.5%,43.8%,12.5%,37.5%,56.2%,43.8%,0.0%,18.8%,62.5%,0.0%,43.8%,31.2%,0.0%,43.8%,18.8%,81.2%,18.8%,0.0%,6.2%,12.5%,43.8%,25.0%,43.8%,0.0%,0.0%,0.0%,6.2%,12.5%,37.5%,18.8%,25.0%,25.0%,0.0%,0.0%,12.5%,18.8%,6.2%,0.0%,12.5%,0.0%,0.0%,0.0%,6.2%,0.0%
Gastroenterology,General,20,Easy,95.0%,100.0%,90.0%,100.0%,95.0%,100.0%,95.0%,0.0%,70.0%,100.0%,0.0%,95.0%,60.0%,95.0%,90.0%,95.0%,90.0%,85.0%,85.0%,85.0%,80.0%,0.0%,85.0%,85.0%,0.0%,80.0%,85.0%,0.0%,80.0%,75.0%,75.0%,80.0%,80.0%,80.0%,0.0%,70.0%,85.0%,80.0%,0.0%,70.0%,90.0%,90.0%,0.0%,0.0%,60.0%,60.0%,50.0%,70.0%,65.0%,65.0%,85.0%,65.0%,55.0%,35.0%,75.0%,0.0%,60.0%,45.0%,0.0%,85.0%,65.0%,0.0%,75.0%,50.0%,35.0%,45.0%,0.0%,60.0%,40.0%,35.0%,40.0%,40.0%,0.0%,0.0%,0.0%,40.0%,35.0%,25.0%,40.0%,10.0%,10.0%,0.0%,0.0%,25.0%,15.0%,15.0%,0.0%,15.0%,0.0%,5.0%,0.0%,5.0%,0.0%
Gastroenterology,Vital,8,Easy,100.0%,100.0%,87.5%,100.0%,87.5%,100.0%,100.0%,0.0%,87.5%,100.0%,0.0%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,75.0%,75.0%,62.5%,0.0%,87.5%,75.0%,0.0%,62.5%,62.5%,0.0%,50.0%,50.0%,37.5%,62.5%,62.5%,62.5%,0.0%,75.0%,87.5%,62.5%,0.0%,50.0%,100.0%,100.0%,0.0%,0.0%,75.0%,87.5%,37.5%,37.5%,25.0%,12.5%,87.5%,12.5%,75.0%,62.5%,87.5%,0.0%,25.0%,75.0%,0.0%,87.5%,62.5%,0.0%,75.0%,0.0%,75.0%,25.0%,0.0%,12.5%,25.0%,87.5%,50.0%,75.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,25.0%,25.0%,0.0%,0.0%,25.0%,12.5%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,12.5%,0.0%
Gastroenterology,General,8,Mid,100.0%,0.0%,62.5%,0.0%,12.5%,87.5%,62.5%,0.0%,75.0%,0.0%,0.0%,0.0%,87.5%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,12.5%,0.0%,0.0%,37.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,25.0%,37.5%,0.0%,12.5%,0.0%,12.5%,0.0%,50.0%,0.0%,0.0%,12.5%,50.0%,0.0%,0.0%,0.0%,0.0%,12.5%,37.5%,87.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,50.0%,12.5%,25.0%,25.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Gastroenterology,Vital,8,Mid,100.0%,0.0%,62.5%,0.0%,12.5%,87.5%,62.5%,0.0%,75.0%,0.0%,0.0%,0.0%,87.5%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,12.5%,0.0%,0.0%,37.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,25.0%,37.5%,0.0%,12.5%,0.0%,12.5%,0.0%,50.0%,0.0%,0.0%,12.5%,50.0%,0.0%,0.0%,0.0%,0.0%,12.5%,37.5%,87.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,50.0%,12.5%,25.0%,25.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Hematology,General,28,All,97.9%,100.0%,92.9%,71.4%,71.4%,75.0%,71.4%,0.0%,89.3%,71.4%,0.0%,71.4%,71.4%,71.4%,64.3%,64.3%,71.4%,67.9%,71.4%,85.7%,67.9%,0.0%,67.9%,60.7%,0.0%,71.4%,71.4%,0.0%,67.9%,67.9%,78.6%,64.3%,75.0%,75.0%,0.0%,64.3%,71.4%,67.9%,0.0%,67.9%,71.4%,60.7%,0.0%,0.0%,53.6%,50.0%,60.7%,57.1%,53.6%,50.0%,67.9%,50.0%,50.0%,60.7%,67.9%,0.0%,57.1%,67.9%,0.0%,60.7%,53.6%,0.0%,50.0%,64.3%,39.3%,42.9%,0.0%,42.9%,53.6%,35.7%,57.1%,21.4%,0.0%,0.0%,0.0%,17.9%,25.0%,21.4%,32.1%,10.7%,10.7%,0.0%,0.0%,21.4%,17.9%,14.3%,0.0%,14.3%,0.0%,3.6%,0.0%,3.6%,0.0%
Hematology,Vital,14,All,95.0%,100.0%,85.7%,42.9%,42.9%,57.1%,50.0%,0.0%,85.7%,42.9%,0.0%,42.9%,92.9%,42.9%,42.9%,35.7%,42.9%,42.9%,42.9%,71.4%,42.9%,0.0%,42.9%,21.4%,0.0%,42.9%,42.9%,0.0%,35.7%,35.7%,64.3%,28.6%,50.0%,50.0%,0.0%,42.9%,50.0%,35.7%,0.0%,42.9%,42.9%,42.9%,0.0%,0.0%,35.7%,57.1%,35.7%,21.4%,7.1%,0.0%,42.9%,0.0%,35.7%,92.9%,35.7%,0.0%,21.4%,71.4%,0.0%,42.9%,28.6%,0.0%,28.6%,35.7%,64.3%,7.1%,0.0%,7.1%,14.3%,42.9%,35.7%,42.9%,0.0%,0.0%,0.0%,0.0%,21.4%,7.1%,7.1%,14.3%,14.3%,0.0%,0.0%,7.1%,14.3%,0.0%,0.0%,7.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Hematology,General,20,Easy,100.0%,100.0%,100.0%,100.0%,100.0%,95.0%,95.0%,0.0%,95.0%,100.0%,0.0%,100.0%,65.0%,100.0%,90.0%,90.0%,100.0%,95.0%,100.0%,100.0%,95.0%,0.0%,85.0%,85.0%,0.0%,100.0%,100.0%,0.0%,95.0%,95.0%,90.0%,90.0%,100.0%,100.0%,0.0%,85.0%,95.0%,95.0%,0.0%,85.0%,100.0%,85.0%,0.0%,0.0%,75.0%,60.0%,80.0%,65.0%,75.0%,70.0%,95.0%,70.0%,70.0%,50.0%,95.0%,0.0%,80.0%,70.0%,0.0%,85.0%,75.0%,0.0%,70.0%,70.0%,25.0%,55.0%,0.0%,60.0%,75.0%,50.0%,75.0%,25.0%,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,45.0%,15.0%,15.0%,0.0%,0.0%,30.0%,15.0%,20.0%,0.0%,15.0%,0.0%,5.0%,0.0%,5.0%,0.0%
Hematology,Vital,6,Easy,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,83.3%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,66.7%,50.0%,0.0%,100.0%,100.0%,0.0%,83.3%,83.3%,83.3%,66.7%,100.0%,100.0%,0.0%,83.3%,100.0%,83.3%,0.0%,66.7%,100.0%,100.0%,0.0%,0.0%,83.3%,100.0%,66.7%,0.0%,16.7%,0.0%,100.0%,0.0%,83.3%,100.0%,83.3%,0.0%,50.0%,83.3%,0.0%,100.0%,66.7%,0.0%,66.7%,16.7%,50.0%,0.0%,0.0%,16.7%,33.3%,100.0%,66.7%,83.3%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%,16.7%,33.3%,33.3%,0.0%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Hematology,General,8,Mid,87.5%,0.0%,75.0%,0.0%,0.0%,25.0%,12.5%,0.0%,75.0%,0.0%,0.0%,0.0%,87.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,12.5%,12.5%,0.0%,12.5%,12.5%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,75.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%
Hematology,Vital,8,Mid,87.5%,0.0%,75.0%,0.0%,0.0%,25.0%,12.5%,0.0%,75.0%,0.0%,0.0%,0.0%,87.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,12.5%,12.5%,0.0%,12.5%,12.5%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,75.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%
Infectious Disease,General,22,All,92.9%,97.6%,100.0%,90.9%,90.9%,90.9%,86.4%,0.0%,77.3%,81.8%,50.0%,86.4%,72.7%,86.4%,86.4%,86.4%,77.3%,86.4%,86.4%,77.3%,86.4%,50.0%,77.3%,81.8%,0.0%,77.3%,77.3%,50.0%,86.4%,72.7%,72.7%,81.8%,77.3%,77.3%,50.0%,59.1%,86.4%,72.7%,50.0%,77.3%,95.5%,90.9%,50.0%,0.0%,68.2%,68.2%,81.8%,59.1%,68.2%,63.6%,86.4%,63.6%,59.1%,50.0%,81.8%,50.0%,81.8%,45.5%,100.0%,95.5%,77.3%,50.0%,72.7%,45.5%,50.0%,36.4%,0.0%,54.5%,50.0%,27.3%,54.5%,27.3%,0.0%,0.0%,50.0%,27.3%,22.7%,9.1%,40.9%,22.7%,22.7%,50.0%,50.0%,50.0%,13.6%,27.3%,0.0%,9.1%,0.0%,9.1%,9.1%,4.5%,0.0%
