Specialty,Score Type,Total Questions,Difficulty,phi4-latest-cpu,qwen2.5-14b-cpu,qwen2.5-7b-cpu,qwen3-8b-cpu,llama3.1-8b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,Elixpo_LlamaMedicine-latest-cpu,gemma3-12b-cpu,dolphin3-latest-cpu,qwen3-4b-cpu,phi4-14b-cpu,qwen3-1.7b-cpu,notus-latest-cpu,gemma2-9b-cpu,zephyr-7b-cpu,qwen2.5-1.5b-cpu,mistral-nemo-12b-cpu,llama-pro-latest-cpu,qwen2-7b-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,qwen2.5-3b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,qwen-4b-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,deepseek-r1-8b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,orca-mini-3b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,qwen2.5-0.5b-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu
Endocrinology,Vital,18,All,100.0%,100.0%,100.0%,88.9%,88.9%,77.8%,44.4%,61.1%,44.4%,100.0%,50.0%,88.9%,0.0%,38.9%,0.0%,88.9%,44.4%,33.3%,50.0%,50.0%,33.3%,50.0%,38.9%,0.0%,88.9%,16.7%,38.9%,0.0%,22.2%,27.8%,0.0%,33.3%,22.2%,33.3%,61.1%,44.4%,0.0%,61.1%,33.3%,0.0%,27.8%,44.4%,0.0%,0.0%,22.2%,16.7%,5.6%,11.1%,11.1%,44.4%,5.6%,11.1%,0.0%,22.2%,27.8%,0.0%,38.9%,88.9%,0.0%,22.2%,72.2%,33.3%,0.0%,5.6%,5.6%,44.4%,22.2%,27.8%,0.0%,0.0%,0.0%,5.6%,22.2%,22.2%,11.1%,11.1%,0.0%,0.0%,22.2%,22.2%,0.0%,5.6%,0.0%,0.0%,0.0%,0.0%
Endocrinology,General,20,Easy,95.0%,100.0%,95.0%,95.0%,95.0%,90.0%,95.0%,95.0%,75.0%,95.0%,100.0%,85.0%,0.0%,90.0%,0.0%,80.0%,90.0%,70.0%,90.0%,80.0%,75.0%,90.0%,80.0%,0.0%,70.0%,70.0%,80.0%,0.0%,75.0%,75.0%,0.0%,85.0%,65.0%,65.0%,85.0%,85.0%,0.0%,75.0%,80.0%,0.0%,70.0%,60.0%,0.0%,0.0%,50.0%,55.0%,60.0%,50.0%,60.0%,90.0%,60.0%,40.0%,0.0%,60.0%,40.0%,0.0%,90.0%,45.0%,0.0%,70.0%,45.0%,45.0%,0.0%,55.0%,40.0%,50.0%,50.0%,25.0%,0.0%,0.0%,0.0%,35.0%,35.0%,35.0%,40.0%,25.0%,0.0%,0.0%,40.0%,15.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.0%
Endocrinology,Vital,9,Easy,100.0%,100.0%,100.0%,88.9%,88.9%,77.8%,88.9%,88.9%,44.4%,100.0%,100.0%,88.9%,0.0%,77.8%,0.0%,88.9%,88.9%,33.3%,88.9%,100.0%,66.7%,77.8%,77.8%,0.0%,88.9%,33.3%,55.6%,0.0%,44.4%,44.4%,0.0%,66.7%,44.4%,33.3%,66.7%,66.7%,0.0%,88.9%,55.6%,0.0%,55.6%,44.4%,0.0%,0.0%,22.2%,11.1%,11.1%,11.1%,11.1%,88.9%,11.1%,22.2%,0.0%,44.4%,33.3%,0.0%,77.8%,88.9%,0.0%,44.4%,88.9%,22.2%,0.0%,11.1%,11.1%,88.9%,44.4%,55.6%,0.0%,0.0%,0.0%,11.1%,22.2%,22.2%,22.2%,11.1%,0.0%,0.0%,22.2%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Endocrinology,General,9,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,33.3%,55.6%,22.2%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,55.6%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,22.2%,33.3%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%
Endocrinology,Vital,9,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,33.3%,55.6%,22.2%,0.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,55.6%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,22.2%,33.3%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%
Esthetic Medicine,General,25,All,92.0%,80.0%,76.0%,100.0%,92.0%,88.0%,100.0%,100.0%,84.0%,100.0%,88.0%,100.0%,84.0%,100.0%,80.0%,56.0%,72.0%,84.0%,92.0%,76.0%,92.0%,68.0%,92.0%,92.0%,52.0%,92.0%,76.0%,56.0%,80.0%,88.0%,88.0%,84.0%,88.0%,84.0%,80.0%,84.0%,88.0%,56.0%,84.0%,52.0%,88.0%,100.0%,64.0%,88.0%,76.0%,84.0%,76.0%,44.0%,76.0%,60.0%,74.2%,48.0%,64.0%,76.0%,48.0%,72.0%,84.0%,24.0%,60.0%,88.0%,36.0%,52.0%,44.0%,48.0%,36.0%,24.0%,64.0%,28.0%,56.0%,72.0%,0.0%,36.0%,52.0%,52.0%,20.0%,8.0%,88.0%,8.0%,8.0%,4.0%,4.0%,4.0%,0.0%,8.0%,68.0%,0.0%
Esthetic Medicine,Vital,10,All,90.0%,90.0%,70.0%,100.0%,100.0%,90.0%,100.0%,100.0%,80.0%,100.0%,90.0%,100.0%,90.0%,100.0%,70.0%,50.0%,90.0%,80.0%,90.0%,60.0%,100.0%,70.0%,90.0%,100.0%,60.0%,100.0%,70.0%,30.0%,100.0%,100.0%,80.0%,90.0%,100.0%,80.0%,80.0%,90.0%,90.0%,50.0%,80.0%,60.0%,80.0%,100.0%,60.0%,100.0%,80.0%,70.0%,70.0%,30.0%,70.0%,70.0%,69.2%,60.0%,50.0%,70.0%,60.0%,60.0%,80.0%,30.0%,70.0%,100.0%,50.0%,40.0%,60.0%,50.0%,40.0%,30.0%,90.0%,30.0%,40.0%,60.0%,0.0%,50.0%,90.0%,90.0%,0.0%,0.0%,80.0%,10.0%,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,70.0%,0.0%
Esthetic Medicine,General,25,Easy,92.0%,80.0%,76.0%,100.0%,92.0%,88.0%,100.0%,100.0%,84.0%,100.0%,88.0%,100.0%,84.0%,100.0%,80.0%,56.0%,72.0%,84.0%,92.0%,76.0%,92.0%,68.0%,92.0%,92.0%,52.0%,92.0%,76.0%,56.0%,80.0%,88.0%,88.0%,84.0%,88.0%,84.0%,80.0%,84.0%,88.0%,56.0%,84.0%,52.0%,88.0%,100.0%,64.0%,88.0%,76.0%,84.0%,76.0%,44.0%,76.0%,60.0%,74.2%,48.0%,64.0%,76.0%,48.0%,72.0%,84.0%,24.0%,60.0%,88.0%,36.0%,52.0%,44.0%,48.0%,36.0%,24.0%,64.0%,28.0%,56.0%,72.0%,0.0%,36.0%,52.0%,52.0%,20.0%,8.0%,88.0%,8.0%,8.0%,4.0%,4.0%,4.0%,0.0%,8.0%,68.0%,0.0%
Esthetic Medicine,Vital,10,Easy,90.0%,90.0%,70.0%,100.0%,100.0%,90.0%,100.0%,100.0%,80.0%,100.0%,90.0%,100.0%,90.0%,100.0%,70.0%,50.0%,90.0%,80.0%,90.0%,60.0%,100.0%,70.0%,90.0%,100.0%,60.0%,100.0%,70.0%,30.0%,100.0%,100.0%,80.0%,90.0%,100.0%,80.0%,80.0%,90.0%,90.0%,50.0%,80.0%,60.0%,80.0%,100.0%,60.0%,100.0%,80.0%,70.0%,70.0%,30.0%,70.0%,70.0%,69.2%,60.0%,50.0%,70.0%,60.0%,60.0%,80.0%,30.0%,70.0%,100.0%,50.0%,40.0%,60.0%,50.0%,40.0%,30.0%,90.0%,30.0%,40.0%,60.0%,0.0%,50.0%,90.0%,90.0%,0.0%,0.0%,80.0%,10.0%,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,70.0%,0.0%
Gastroenterology,General,28,All,100.0%,95.0%,100.0%,100.0%,95.0%,90.0%,90.5%,82.1%,80.0%,90.0%,71.4%,90.0%,0.0%,71.4%,0.0%,70.0%,64.3%,60.0%,71.4%,64.3%,60.7%,67.9%,57.1%,0.0%,60.0%,60.7%,60.7%,0.0%,57.1%,71.4%,0.0%,57.1%,53.6%,53.6%,64.3%,60.7%,0.0%,71.4%,57.1%,0.0%,53.6%,75.0%,0.0%,0.0%,42.9%,60.7%,46.4%,50.0%,50.0%,60.7%,50.0%,39.3%,0.0%,46.4%,46.4%,0.0%,60.7%,35.0%,0.0%,57.1%,50.0%,35.7%,0.0%,42.9%,28.6%,25.0%,28.6%,32.1%,0.0%,0.0%,0.0%,32.1%,10.0%,10.0%,25.0%,32.1%,0.0%,0.0%,17.9%,17.9%,0.0%,10.7%,0.0%,0.0%,0.0%,3.6%
Gastroenterology,Vital,16,All,100.0%,100.0%,100.0%,100.0%,87.5%,87.5%,77.8%,75.0%,62.5%,100.0%,50.0%,100.0%,0.0%,50.0%,0.0%,87.5%,43.8%,75.0%,50.0%,50.0%,37.5%,50.0%,31.2%,0.0%,87.5%,43.8%,37.5%,0.0%,31.2%,50.0%,0.0%,25.0%,25.0%,18.8%,43.8%,37.5%,0.0%,62.5%,31.2%,0.0%,31.2%,87.5%,0.0%,0.0%,31.2%,37.5%,12.5%,0.0%,12.5%,43.8%,12.5%,37.5%,0.0%,18.8%,62.5%,0.0%,43.8%,62.5%,0.0%,43.8%,81.2%,18.8%,0.0%,6.2%,12.5%,43.8%,25.0%,43.8%,0.0%,0.0%,0.0%,6.2%,25.0%,25.0%,12.5%,37.5%,0.0%,0.0%,12.5%,18.8%,0.0%,12.5%,0.0%,0.0%,0.0%,6.2%
Gastroenterology,General,20,Easy,100.0%,95.0%,100.0%,100.0%,95.0%,90.0%,95.0%,90.0%,80.0%,90.0%,95.0%,90.0%,0.0%,100.0%,0.0%,70.0%,90.0%,60.0%,95.0%,85.0%,85.0%,85.0%,80.0%,0.0%,60.0%,85.0%,85.0%,0.0%,80.0%,85.0%,0.0%,80.0%,75.0%,75.0%,80.0%,80.0%,0.0%,85.0%,80.0%,0.0%,70.0%,75.0%,0.0%,0.0%,50.0%,70.0%,65.0%,50.0%,65.0%,85.0%,65.0%,55.0%,0.0%,60.0%,45.0%,0.0%,85.0%,35.0%,0.0%,75.0%,35.0%,45.0%,0.0%,60.0%,40.0%,35.0%,40.0%,40.0%,0.0%,0.0%,0.0%,40.0%,10.0%,10.0%,35.0%,25.0%,0.0%,0.0%,25.0%,15.0%,0.0%,15.0%,0.0%,0.0%,0.0%,5.0%
Gastroenterology,Vital,8,Easy,100.0%,100.0%,100.0%,100.0%,87.5%,87.5%,87.5%,87.5%,62.5%,100.0%,87.5%,100.0%,0.0%,100.0%,0.0%,87.5%,87.5%,75.0%,87.5%,87.5%,75.0%,75.0%,62.5%,0.0%,87.5%,87.5%,75.0%,0.0%,62.5%,62.5%,0.0%,50.0%,50.0%,37.5%,62.5%,62.5%,0.0%,87.5%,62.5%,0.0%,50.0%,87.5%,0.0%,0.0%,37.5%,37.5%,25.0%,0.0%,12.5%,87.5%,12.5%,75.0%,0.0%,25.0%,75.0%,0.0%,87.5%,62.5%,0.0%,75.0%,75.0%,25.0%,0.0%,12.5%,25.0%,87.5%,50.0%,75.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,25.0%,0.0%,0.0%,25.0%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,12.5%
Gastroenterology,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,0.0%,37.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,25.0%,37.5%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,12.5%,50.0%,0.0%,0.0%,0.0%,0.0%,12.5%,87.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Gastroenterology,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,0.0%,37.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,25.0%,37.5%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,12.5%,50.0%,0.0%,0.0%,0.0%,0.0%,12.5%,87.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Hematology,General,28,All,100.0%,100.0%,95.0%,100.0%,100.0%,100.0%,100.0%,92.9%,100.0%,100.0%,71.4%,85.0%,0.0%,71.4%,0.0%,95.0%,64.3%,75.0%,64.3%,67.9%,71.4%,85.7%,67.9%,0.0%,65.0%,67.9%,60.7%,0.0%,71.4%,71.4%,0.0%,67.9%,67.9%,78.6%,64.3%,75.0%,0.0%,71.4%,67.9%,0.0%,67.9%,95.0%,0.0%,0.0%,60.7%,57.1%,53.6%,70.0%,50.0%,67.9%,50.0%,50.0%,0.0%,57.1%,67.9%,0.0%,60.7%,50.0%,0.0%,50.0%,39.3%,42.9%,0.0%,42.9%,53.6%,35.7%,57.1%,21.4%,0.0%,0.0%,0.0%,17.9%,15.0%,15.0%,25.0%,21.4%,0.0%,0.0%,21.4%,17.9%,0.0%,14.3%,0.0%,0.0%,0.0%,3.6%
Hematology,Vital,14,All,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,85.7%,100.0%,100.0%,42.9%,100.0%,0.0%,42.9%,0.0%,100.0%,42.9%,83.3%,35.7%,42.9%,42.9%,71.4%,42.9%,0.0%,100.0%,42.9%,21.4%,0.0%,42.9%,42.9%,0.0%,35.7%,35.7%,64.3%,28.6%,50.0%,0.0%,50.0%,35.7%,0.0%,42.9%,83.3%,0.0%,0.0%,35.7%,21.4%,7.1%,16.7%,0.0%,42.9%,0.0%,35.7%,0.0%,21.4%,71.4%,0.0%,42.9%,100.0%,0.0%,28.6%,64.3%,7.1%,0.0%,7.1%,14.3%,42.9%,35.7%,42.9%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,21.4%,7.1%,0.0%,0.0%,7.1%,14.3%,0.0%,7.1%,0.0%,0.0%,0.0%,0.0%
Hematology,General,20,Easy,100.0%,100.0%,95.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,85.0%,0.0%,100.0%,0.0%,95.0%,90.0%,75.0%,90.0%,95.0%,100.0%,100.0%,95.0%,0.0%,65.0%,85.0%,85.0%,0.0%,100.0%,100.0%,0.0%,95.0%,95.0%,90.0%,90.0%,100.0%,0.0%,95.0%,95.0%,0.0%,85.0%,95.0%,0.0%,0.0%,80.0%,65.0%,75.0%,70.0%,70.0%,95.0%,70.0%,70.0%,0.0%,80.0%,70.0%,0.0%,85.0%,50.0%,0.0%,70.0%,25.0%,55.0%,0.0%,60.0%,75.0%,50.0%,75.0%,25.0%,0.0%,0.0%,0.0%,25.0%,15.0%,15.0%,25.0%,25.0%,0.0%,0.0%,30.0%,15.0%,0.0%,15.0%,0.0%,0.0%,0.0%,5.0%
Hematology,Vital,6,Easy,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,83.3%,83.3%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,66.7%,50.0%,0.0%,100.0%,100.0%,0.0%,83.3%,83.3%,83.3%,66.7%,100.0%,0.0%,100.0%,83.3%,0.0%,66.7%,83.3%,0.0%,0.0%,66.7%,0.0%,16.7%,16.7%,0.0%,100.0%,0.0%,83.3%,0.0%,50.0%,83.3%,0.0%,100.0%,100.0%,0.0%,66.7%,50.0%,0.0%,0.0%,16.7%,33.3%,100.0%,66.7%,83.3%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,16.7%,0.0%,0.0%,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Hematology,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,12.5%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,0.0%,0.0%,0.0%,25.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Hematology,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,12.5%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,12.5%,0.0%,0.0%,0.0%,25.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Infectious Disease,General,22,All,90.9%,92.9%,90.9%,97.6%,86.4%,77.3%,86.4%,100.0%,77.3%,95.5%,90.9%,90.9%,0.0%,81.8%,50.0%,77.3%,86.4%,68.2%,86.4%,86.4%,86.4%,77.3%,86.4%,50.0%,72.7%,77.3%,81.8%,0.0%,77.3%,77.3%,50.0%,86.4%,72.7%,72.7%,81.8%,77.3%,50.0%,86.4%,72.7%,50.0%,77.3%,81.8%,50.0%,0.0%,81.8%,59.1%,68.2%,45.5%,63.6%,86.4%,63.6%,59.1%,50.0%,81.8%,45.5%,100.0%,95.5%,50.0%,50.0%,72.7%,50.0%,36.4%,0.0%,54.5%,50.0%,27.3%,54.5%,27.3%,0.0%,0.0%,50.0%,27.3%,22.7%,22.7%,22.7%,9.1%,50.0%,50.0%,50.0%,13.6%,0.0%,9.1%,0.0%,0.0%,9.1%,4.5%
Infectious Disease,Vital,9,All,88.9%,93.8%,88.9%,100.0%,77.8%,77.8%,77.8%,100.0%,44.4%,88.9%,88.9%,77.8%,0.0%,55.6%,50.0%,77.8%,77.8%,55.6%,77.8%,77.8%,77.8%,66.7%,66.7%,50.0%,88.9%,55.6%,55.6%,0.0%,44.4%,44.4%,50.0%,66.7%,44.4%,33.3%,55.6%,44.4%,50.0%,77.8%,33.3%,50.0%,55.6%,66.7%,50.0%,0.0%,66.7%,11.1%,22.2%,11.1%,11.1%,77.8%,11.1%,77.8%,50.0%,55.6%,33.3%,100.0%,88.9%,77.8%,50.0%,66.7%,88.9%,11.1%,0.0%,0.0%,11.1%,66.7%,33.3%,66.7%,0.0%,0.0%,50.0%,11.1%,55.6%,55.6%,11.1%,11.1%,50.0%,50.0%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,22.2%,11.1%
Infectious Disease,General,20,Easy,95.0%,95.0%,95.0%,97.5%,90.0%,80.0%,90.0%,100.0%,85.0%,100.0%,95.0%,95.0%,0.0%,85.0%,0.0%,80.0%,90.0%,75.0%,85.0%,90.0%,90.0%,80.0%,90.0%,0.0%,75.0%,80.0%,85.0%,0.0%,85.0%,85.0%,0.0%,85.0%,80.0%,75.0%,90.0%,85.0%,0.0%,95.0%,80.0%,0.0%,80.0%,90.0%,0.0%,0.0%,85.0%,60.0%,70.0%,45.0%,65.0%,90.0%,65.0%,60.0%,0.0%,80.0%,50.0%,0.0%,100.0%,55.0%,0.0%,70.0%,50.0%,40.0%,0.0%,60.0%,50.0%,25.0%,60.0%,30.0%,0.0%,0.0%,0.0%,30.0%,15.0%,15.0%,25.0%,10.0%,0.0%,0.0%,55.0%,15.0%,0.0%,10.0%,0.0%,0.0%,0.0%,0.0%
Infectious Disease,Vital,7,Easy,100.0%,100.0%,100.0%,100.0%,85.7%,85.7%,85.7%,100.0%,57.1%,100.0%,100.0%,85.7%,0.0%,57.1%,0.0%,85.7%,85.7%,71.4%,71.4%,85.7%,85.7%,71.4%,71.4%,0.0%,100.0%,57.1%,57.1%,0.0%,57.1%,57.1%,0.0%,57.1%,57.1%,28.6%,71.4%,57.1%,0.0%,100.0%,42.9%,0.0%,57.1%,85.7%,0.0%,0.0%,71.4%,0.0%,14.3%,0.0%,0.0%,85.7%,0.0%,85.7%,0.0%,42.9%,42.9%,0.0%,100.0%,100.0%,0.0%,57.1%,100.0%,14.3%,0.0%,0.0%,0.0%,71.4%,42.9%,85.7%,0.0%,0.0%,0.0%,14.3%,42.9%,42.9%,14.3%,14.3%,0.0%,0.0%,42.9%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Infectious Disease,General,2,Mid,50.0%,50.0%,50.0%,100.0%,50.0%,50.0%,50.0%,100.0%,0.0%,50.0%,50.0%,50.0%,0.0%,50.0%,50.0%,50.0%,50.0%,0.0%,100.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,50.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,0.0%,50.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,100.0%,0.0%,100.0%,50.0%,0.0%,50.0%,100.0%,50.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,50.0%
Infectious Disease,Vital,2,Mid,50.0%,50.0%,50.0%,100.0%,50.0%,50.0%,50.0%,100.0%,0.0%,50.0%,50.0%,50.0%,0.0%,50.0%,50.0%,50.0%,50.0%,0.0%,100.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,50.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0%,50.0%,0.0%,50.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,100.0%,0.0%,100.0%,50.0%,0.0%,50.0%,100.0%,50.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%,100.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,50.0%
Nephrology,General,28,All,95.0%,90.0%,90.0%,90.0%,80.0%,85.0%,80.0%,67.9%,80.0%,70.0%,64.3%,80.0%,0.0%,57.1%,0.0%,60.0%,67.9%,65.0%,60.7%,60.7%,57.1%,67.9%,60.7%,0.0%,65.0%,60.7%,64.3%,0.0%,60.7%,50.0%,0.0%,67.9%,64.3%,71.4%,67.9%,64.3%,0.0%,57.1%,50.0%,0.0%,57.1%,75.0%,0.0%,0.0%,57.1%,71.4%,53.6%,35.0%,53.6%,50.0%,53.6%,39.3%,0.0%,53.6%,53.6%,0.0%,53.6%,35.0%,0.0%,46.4%,46.4%,46.4%,0.0%,42.9%,32.1%,25.0%,35.7%,17.9%,0.0%,0.0%,0.0%,28.6%,5.0%,5.0%,21.4%,32.1%,0.0%,0.0%,21.4%,25.0%,0.0%,10.7%,0.0%,0.0%,0.0%,7.1%
